,cX,cY,Reps,Avg Velocity,Peak Velocity,Avg Velocity Loss,Peak Velocity Loss,Rep
205,559,984,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
206,559,983,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
207,559,981,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
208,559,980,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
209,560,977,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
210,561,974,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
211,562,969,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
212,563,963,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
213,563,958,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
214,564,950,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
215,565,942,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
216,566,932,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
217,566,922,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
218,566,910,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
219,567,898,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
220,567,885,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
221,567,872,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
222,567,859,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
223,567,846,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
224,567,833,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
225,567,820,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
226,567,808,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
227,568,795,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
228,568,783,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
229,569,770,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
230,569,758,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
231,569,745,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
232,570,733,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
233,570,721,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
234,570,709,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
235,571,697,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
236,571,685,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
237,571,673,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
238,571,661,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
239,571,650,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
240,571,638,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
241,571,627,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
242,571,616,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
243,571,605,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
244,572,594,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
245,571,583,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
246,571,574,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
247,571,564,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
248,572,554,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
249,571,545,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
250,571,536,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
251,571,528,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
252,570,521,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
253,570,514,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
254,570,507,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
255,569,500,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
256,568,494,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
257,567,487,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
258,567,479,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
